T_K,P_atm,P_bar,massf1,massf2,matf_rho_kg_m3,matf_h_J_kg,matf_cp_J_kgK,matf_mu_Pa_s,matf_kappa_W_mK,matf_sigma_S_m
300.0,0.1,0.101325,0.0,0.0,0.16442012166666664,963.69,520.35,2.2681999999999997e-05,0.017705000000000002,1.6134e-05
500.0,0.1,0.101325,0.0,0.0,0.09865305091666667,105030.0,520.35,3.3924e-05,0.026480000000000004,2.2905999999999997e-05
700.0,0.1,0.101325,0.0,0.0,0.07046647125,209100.0,520.35,4.3329000000000005e-05,0.033821,2.9748e-05
900.0,0.1,0.101325,0.0,0.0,0.054807688083333334,313170.0,520.35,5.1201999999999995e-05,0.039967,3.1432999999999995e-05
1100.0,0.1,0.101325,0.0,0.0,0.04484237433333333,417240.0,520.35,5.871599999999999e-05,0.045833,2.9843000000000002e-05
1300.0,0.1,0.101325,0.0,0.0,0.03794318158333333,521309.99999999994,520.35,6.5e-05,0.050738995583333335,2.3573999999999998e-05
1500.0,0.1,0.101325,0.0,0.0,0.03288403316666667,625389.9558333333,520.3699558333334,7.0767e-05,0.05524997791666667,1.8334e-05
1700.0,0.1,0.101325,0.0,0.0,0.029015409333333336,729469.9558333333,520.4597350000001,7.6653e-05,0.059907845416666675,1.5147004416666667e-05
1900.0,0.1,0.101325,0.0,0.0,0.02596150033333333,833579.8674999999,520.7093375000001,8.353999999999999e-05,0.06546655833333333,1.389801325e-05
2100.0,0.1,0.101325,0.0,0.0,0.023488157083333332,937739.7791666667,520.8297791666668,9.0474e-05,0.07092005741666667,1.2733017666666668e-05
2300.0,0.1,0.101325,0.0,0.0,0.021446440666666663,1041899.5583333335,520.500795,9.5817e-05,0.07488349466666668,1.0612008833333334e-05
2500.0,0.1,0.101325,0.0,0.0,0.019730008416666663,1146000.0,520.380265,0.00010112,0.07895414575,9.085501766666667e-06
2700.0,0.1,0.101325,0.0,0.0,0.018268893083333328,1250000.0,520.3600441666667,0.00010655999999999998,0.08319203091666666,8.007500441666666e-06
2900.0,0.1,0.101325,0.0,0.0,0.017008423333333335,1354100.0,520.36,0.00011237,0.08772800883333333,1.8343400675e-05
3100.0,0.1,0.101325,0.0,0.0,0.01591107358333333,1458200.0,520.36,0.00011809,0.09219300441666667,0.00013890256908333332
3300.0,0.1,0.101325,0.0,0.0,0.014947459583333333,1562200.0,520.36,0.00012319999999999999,0.096185,0.0008069839883333334
3500.0,0.1,0.101325,0.0,0.0,0.014093289833333331,1666300.0,520.36,0.00012826,0.10014,0.003840600125
3700.0,0.1,0.101325,0.0,0.0,0.013331330249999999,1770400.0,520.36,0.00013332000000000003,0.10408000000000002,0.015473756258333336
3900.0,0.1,0.101325,0.0,0.0,0.012647390916666664,1874500.0,520.36,0.00013841,0.10805999999999999,0.05417413608333334
4100.0,0.1,0.101325,0.0,0.0,0.012030321666666666,1978500.0,520.36,0.00014344,0.11199995583333333,0.16765922083333334
4300.0,0.1,0.101325,0.0,0.0,0.01147100325,2082600.0000000005,520.3799558333333,0.0001483,0.11579995583333334,0.46511259499999996
4500.0,0.1,0.101325,0.0,0.0,0.010961338499999999,2186700.0,520.4198675,0.00015311,0.11957991166666666,1.1754094041666667
4700.0,0.1,0.101325,0.0,0.0,0.010495234666666665,2290800.0,520.4996908333334,0.00015788,0.12336977916666668,2.732304816666667
4900.0,0.1,0.101325,0.0,0.0,0.010066435216666668,2394900.0,520.6792933333334,0.00016261999999999998,0.12721942583333334,5.884888575000001
5100.0,0.1,0.101325,0.0,0.0,0.009671674783333332,2500099.558333333,521.5485866666667,0.00016732,0.1312888516666667,11.799640383333333
5300.0,0.1,0.101325,0.0,0.0,0.009306601691666666,2604199.116666666,520.2872175,0.00017195,0.13526788,22.121346749999997
5500.0,0.1,0.101325,0.0,0.0,0.008968176191666665,2708198.675,520.1149208333335,0.00017654999999999998,0.1396962016666667,38.945917
5700.0,0.1,0.101325,0.0,0.0,0.008653358533333334,2812396.908333333,521.1711225,0.00018110999999999998,0.14459364000000002,64.73390083333334
5900.0,0.1,0.101325,0.0,0.0,0.008359823541666665,2916794.6999999997,523.7149833333333,0.00018562004416666666,0.150209665,102.19308733333334
6100.0,0.1,0.101325,0.0,0.0,0.008085336766666666,3021990.725,528.1254875,0.00019010999999999998,0.15685365833333337,154.05410916666668
6300.0,0.1,0.101325,0.0,0.0,0.007828179216666665,3128184.983333333,534.9612216666667,0.00019455004416666665,0.1649647366666667,222.72356000000002
6500.0,0.1,0.101325,0.0,0.0,0.007586523508333333,3236174.825,544.9404191666669,0.00019896004416666664,0.17502201666666667,309.7147258333334
6700.0,0.1,0.101325,0.0,0.0,0.007358858599999999,3346460.25,559.0507391666666,0.0002033201325,0.18751514500000005,415.22533583333336
6900.0,0.1,0.101325,0.0,0.0,0.007143958875,3460138.6083333334,578.4694433333333,0.00020764022083333332,0.2027943866666667,537.9270058333333
7100.0,0.1,0.101325,0.0,0.0,0.0069403177083333335,3578406.8083333336,604.6832191666667,0.00021191035333333334,0.22108071333333335,675.2425883333334
7300.0,0.1,0.101325,0.0,0.0,0.006747012574999999,3702662.2,639.4480033333333,0.0002161206183333333,0.2426652291666667,823.8037433333334
7500.0,0.1,0.101325,0.0,0.0,0.006562740383333333,3834900.366666666,684.8591141666667,0.00022024106,0.2674090825,980.0983766666667
7700.0,0.1,0.101325,0.0,0.0,0.006386583025000001,3977615.566666667,743.3112516666666,0.0002242517225,0.2952928475,1140.9798449999998
7900.0,0.1,0.101325,0.0,0.0,0.006217432108333333,4133502.0583333336,817.5383208333334,0.00022810282666666667,0.32635652416666666,1303.7878833333334
8100.0,0.1,0.101325,0.0,0.0,0.0060543739416666666,4306052.333333334,910.62352,0.00023173450500000003,0.36070971500000004,1466.828075
8300.0,0.1,0.101325,0.0,0.0,0.005896404108333333,4499556.233333332,1025.9893849999999,0.00023503711083333332,0.39854136,1628.7956499999996
8500.0,0.1,0.101325,0.0,0.0,0.005742513775,4718803.158333333,1167.3776566666668,0.00023791095333333331,0.440130355,1789.1844250000001
8700.0,0.1,0.101325,0.0,0.0,0.0055917892500000005,4969281.625000001,1338.8993691666667,0.0002402162975,0.4857954633333333,1947.5891000000001
8900.0,0.1,0.101325,0.0,0.0,0.00544342965,5257676.616666666,1544.94485,0.00024176380583333334,0.5358954041666667,2104.2043750000003
9100.0,0.1,0.101325,0.0,0.0,0.005297014658333333,5591272.233333334,1790.0051333333333,0.00024237378750000002,0.5908091175,2258.9276
9300.0,0.1,0.101325,0.0,0.0,0.005150761058333333,5978549.924999999,2078.8700166666663,0.0002418267725,0.6509655433333333,2412.254358333333
9500.0,0.1,0.101325,0.0,0.0,0.005004235283333333,6428590.258333333,2416.5289,0.00023993298166666668,0.7166940191666666,2564.1842083333336
9700.0,0.1,0.101325,0.0,0.0,0.004856839983333333,6951870.266666667,2807.7725083333335,0.00023651268,0.788324015,2715.015383333334
9900.0,0.1,0.101325,0.0,0.0,0.004707769858333333,7559666.100000001,3256.9942166666665,0.00023142577916666663,0.86611531,2864.847441666667
10100.0,0.1,0.101325,0.0,0.0,0.004556613425,8263953.466666666,3768.0887249999996,0.00022460188166666665,0.9500883016666669,3013.8795
10300.0,0.1,0.101325,0.0,0.0,0.004402968033333334,9077506.75,4343.95515,0.0002160204133333333,1.0400441383333334,3162.112
10500.0,0.1,0.101325,0.0,0.0,0.004246720875,10013699.45,4985.700116666667,0.00020580031416666666,1.1356447633333335,3309.4458250000002
10700.0,0.1,0.101325,0.0,0.0,0.0040878719499999995,11085609.483333334,5691.739524999999,0.00019411048,1.236242915,3455.880533333333
10900.0,0.1,0.101325,0.0,0.0,0.003926810658333333,12305220.950000001,6457.102966666667,0.00018120945333333332,1.3403446,3601.21745
11100.0,0.1,0.101325,0.0,0.0,0.003764233908333333,13683523.25,7271.54035,0.00016741590916666667,1.44625715,3745.257016666667
11300.0,0.1,0.101325,0.0,0.0,0.0036008386083333332,15230511.083333332,8118.721899999999,0.00015311847833333333,1.5516891333333336,3887.600558333333
11500.0,0.1,0.101325,0.0,0.0,0.003437919016666666,16948211.833333336,8974.647433333334,0.00013865623333333334,1.6533524750000002,4028.147633333333
11700.0,0.1,0.101325,0.0,0.0,0.0032767693916666667,18835665.25,9806.943708333334,0.000124398335,1.7473613083333335,4166.300008333334
11900.0,0.1,0.101325,0.0,0.0,0.0031189959166666665,20883942.0,10575.062658333334,0.00011064451833333332,1.8294288833333332,4301.957683333333
12100.0,0.1,0.101325,0.0,0.0,0.0029662955,23077139.25,11233.962841666667,9.762586724999999e-05,1.895267566666667,4434.620658333334
12300.0,0.1,0.101325,0.0,0.0,0.0028201791833333332,25386393.916666664,11735.599283333333,8.55375805e-05,1.9407857499999999,4564.0893750000005
12500.0,0.1,0.101325,0.0,0.0,0.0026820496166666667,27775865.0,12036.092116666667,7.4517378e-05,1.9639834333333337,4690.162066666668
12700.0,0.1,0.101325,0.0,0.0,0.002553218725,30201733.583333336,12105.482858333331,6.463302383333333e-05,1.9638535500000003,4812.639174999999
12900.0,0.1,0.101325,0.0,0.0,0.0024342926916666664,32616171.916666668,11931.718066666666,5.5901419e-05,1.9416797583333334,4931.518933333334
13100.0,0.1,0.101325,0.0,0.0,0.0023259993416666668,34972330.16666667,11524.639625000002,4.8306477749999996e-05,1.900937766666667,5046.700016666667
13300.0,0.1,0.101325,0.0,0.0,0.0022280444166666667,37224327.58333333,10914.996666666668,4.178924683333333e-05,1.8463988666666669,5158.579775
13500.0,0.1,0.101325,0.0,0.0,0.002140344258333333,39336217.16666667,10151.47075,3.625546383333333e-05,1.7830347916666671,5267.156883333333
13700.0,0.1,0.101325,0.0,0.0,0.0020621187416666664,41284981.25000001,9290.3346,3.160385308333333e-05,1.7162186,5372.730016666667
13900.0,0.1,0.101325,0.0,0.0,0.0019925771416666664,43055553.583333336,8386.106433333334,2.772798433333333e-05,1.6504330666666667,5475.696083333333
14100.0,0.1,0.101325,0.0,0.0,0.001930830058333333,44643810.50000001,7487.777783333334,2.452025066666667e-05,1.5891667083333334,5576.4542
14300.0,0.1,0.101325,0.0,0.0,0.00187588235,46056597.41666667,6632.528958333333,2.18799215e-05,1.5348173166666668,5675.1043666666665
14500.0,0.1,0.101325,0.0,0.0,0.0018268371083333332,47303746.5,5845.743175,1.972318233333333e-05,1.4891901916666666,5772.044816666667
14700.0,0.1,0.101325,0.0,0.0,0.001782892125,48402089.916666664,5141.577408333334,1.7971117083333332e-05,1.4526977,5867.575108333333
14900.0,0.1,0.101325,0.0,0.0,0.00174314475,49368486.333333336,4525.144283333334,1.6556703666666668e-05,1.4253522083333334,5961.797008333333
15100.0,0.1,0.101325,0.0,0.0,0.0017070879166666665,50219825.333333336,3996.1824833333335,1.5421875833333335e-05,1.406669175,6054.910075
15300.0,0.1,0.101325,0.0,0.0,0.0016740158833333334,50974000.91666667,3549.9351083333336,1.4518540833333329e-05,1.3960609666666668,6147.11475
15500.0,0.1,0.101325,0.0,0.0,0.0016435198166666666,51645960.08333333,3179.129358333333,1.3805566166666664e-05,1.392738625,6238.313241666667
15700.0,0.1,0.101325,0.0,0.0,0.001615291325,52251654.25,2876.472116666667,1.3248823749999996e-05,1.3954127500000002,6328.70555
15900.0,0.1,0.101325,0.0,0.0,0.0015887237833333333,52802074.583333336,2634.947741666667,1.2820167833333334e-05,1.403289966666667,6418.192999999999
16100.0,0.1,0.101325,0.0,0.0,0.0015638079166666666,53310203.41666667,2448.4132083333334,1.2498470333333333e-05,1.4158742500000001,6506.577800000001
16300.0,0.1,0.101325,0.0,0.0,0.0015401384249999997,53786045.16666667,2311.9056166666664,1.2261634083333332e-05,1.4322691333333335,6593.761275
16500.0,0.1,0.101325,0.0,0.0,0.001517509125,54238613.083333336,2221.7421916666667,1.2094526583333332e-05,1.4520759416666669,6679.544308333334
16700.0,0.1,0.101325,0.0,0.0,0.0014959133916666665,54678911.583333336,2175.427791666667,1.19830595e-05,1.4745964416666668,6763.529108333333
16900.0,0.1,0.101325,0.0,0.0,0.0014749476916666665,55112953.916666664,2171.9544666666666,1.1914153333333333e-05,1.4995306333333334,6845.517441666668
17100.0,0.1,0.101325,0.0,0.0,0.00145460805,55551735.666666664,2211.208966666666,1.1877733e-05,1.5264763083333335,6924.911074999998
17300.0,0.1,0.101325,0.0,0.0,0.0014348900499999999,56001278.91666667,2294.3714166666664,1.1863741083333333e-05,1.5550321416666668,7001.112216666666
17500.0,0.1,0.101325,0.0,0.0,0.0014153923666666668,56472574.833333336,2423.5201749999997,1.1863133416666666e-05,1.5849981333333334,7073.6235166666675
17700.0,0.1,0.101325,0.0,0.0,0.001396310583333333,56975605.75,2601.5300666666662,1.1867870249999999e-05,1.6161720750000002,7141.547183333334
17900.0,0.1,0.101325,0.0,0.0,0.0013772442583333331,57518380.50000001,2831.977683333333,1.1868925083333333e-05,1.6481552916666669,7204.284983333334
18100.0,0.1,0.101325,0.0,0.0,0.0013582903000000002,58112877.0,3118.739175,1.1860262583333332e-05,1.6809451333333332,7260.74045
18300.0,0.1,0.101325,0.0,0.0,0.0013393473833333335,58770077.58333333,3465.6946666666668,1.1832878333333331e-05,1.7144407166666669,7310.21535
18500.0,0.1,0.101325,0.0,0.0,0.0013202146249999998,59503951.333333336,3876.3287,1.1780745833333333e-05,1.7485416000000003,7351.711450000001
18700.0,0.1,0.101325,0.0,0.0,0.0013007907,60326480.583333336,4353.529791666667,1.169785625e-05,1.7829477833333336,7384.430075
18900.0,0.1,0.101325,0.0,0.0,0.0012811734000000002,61251634.416666664,4898.895291666667,1.1579187499999998e-05,1.8175583833333335,7407.771666666667
19100.0,0.1,0.101325,0.0,0.0,0.001261062725,62292390.75,5512.232266666667,1.1419721916666664e-05,1.852074725,7421.235783333333
19300.0,0.1,0.101325,0.0,0.0,0.0012404573499999998,63462718.666666664,6191.058383333334,1.1217441833333334e-05,1.8865941583333334,7424.718891666667
19500.0,0.1,0.101325,0.0,0.0,0.0012194550666666665,64775600.5,6930.304116666667,1.0971311916666665e-05,1.92081845,7418.218783333335
19700.0,0.1,0.101325,0.0,0.0,0.0011978563166666666,66241031.83333334,7721.912308333333,1.0683296833333332e-05,1.9549484833333333,7402.229716666666
19900.0,0.1,0.101325,0.0,0.0,0.0011756593333333333,67870999.41666666,8554.63905,1.0355352416666665e-05,1.9886824916666666,7377.744183333334
20100.0,0.1,0.101325,0.0,0.0,0.0011530619083333334,69669520.91666666,9414.451033333335,9.992334941666665e-06,2.0222187083333334,7345.755558333333
20300.0,0.1,0.101325,0.0,0.0,0.0011299640416666667,71642618.41666667,10284.523783333334,9.600892733333333e-06,2.0553571333333336,7307.7545666666665
20500.0,0.1,0.101325,0.0,0.0,0.0011064644083333332,73790327.25,11145.739008333332,9.187474999999998e-06,2.0881973250000003,7265.332375
20700.0,0.1,0.101325,0.0,0.0,0.0010826612416666664,76106713.66666666,11977.281508333333,8.759639341666667e-06,2.120738841666667,7220.181033333332
20900.0,0.1,0.101325,0.0,0.0,0.0010586540999999998,78586843.91666667,12759.225925,8.3246491e-06,2.1529803583333336,7173.893475
21100.0,0.1,0.101325,0.0,0.0,0.001034740775,81215810.75,13469.649991666667,7.8895685e-06,2.1848232000000003,7128.064399999999
21300.0,0.1,0.101325,0.0,0.0,0.0010108321058333333,83978715.75,14089.610241666667,7.460574574999999e-06,2.2164651583333335,7084.0893916666655
21500.0,0.1,0.101325,0.0,0.0,0.00098721637,86855673.75,14602.149516666668,7.0431562833333325e-06,2.247708,7043.266683333333
21700.0,0.1,0.101325,0.0,0.0,0.0009639935674999998,89823795.16666666,14993.290341666667,6.641720691666666e-06,2.2786504,7006.4967166666665
21900.0,0.1,0.101325,0.0,0.0,0.0009413039633333332,92856216.91666667,15253.032716666667,6.259666033333333e-06,2.3092923583333334,6974.580816666667
22100.0,0.1,0.101325,0.0,0.0,0.0009192679108333332,95927045.00000001,15377.346166666668,5.8995121833333336e-06,2.339733875,6948.022516666666
22300.0,0.1,0.101325,0.0,0.0,0.0008979953658333333,99009389.83333333,15366.17725,5.562783433333333e-06,2.3698753916666666,6927.026675
22500.0,0.1,0.101325,0.0,0.0,0.0008775473883333333,102079339.75,15223.458833333334,5.250397891666666e-06,2.3998160250000002,6911.997708333334
22700.0,0.1,0.101325,0.0,0.0,0.0008579954358333333,105105991.91666669,14960.093749999998,4.962486033333333e-06,2.4297557750000003,6902.841358333335
22900.0,0.1,0.101325,0.0,0.0,0.0008393910541666667,108063425.83333334,14586.976000000002,4.698875241666667e-06,2.4596937583333336,6899.3642500000005
23100.0,0.1,0.101325,0.0,0.0,0.0008217346849999998,110941632.66666667,14120.990749999999,4.458895108333334e-06,2.489730416666667,6901.4708
23300.0,0.1,0.101325,0.0,0.0,0.0008050384925,113710683.08333333,13581.014333333333,4.241567716666667e-06,2.5201639833333336,6908.867191666667
23500.0,0.1,0.101325,0.0,0.0,0.0007892838899999999,116370506.41666667,12983.94075,4.045810733333333e-06,2.5508949000000003,6921.257841666666
23700.0,0.1,0.101325,0.0,0.0,0.0007744522908333332,118911080.58333334,12348.668416666666,3.870249775e-06,2.5823222833333337,6938.247166666668
23900.0,0.1,0.101325,0.0,0.0,0.0007605051966666666,121322370.25,11694.09575,3.7135002999999995e-06,2.6142461333333338,6959.537816666666
24100.0,0.1,0.101325,0.0,0.0,0.0007473937116666666,123594344.5,11035.1565,3.5742746749999995e-06,2.647065566666667,6984.733766666666
24300.0,0.1,0.101325,0.0,0.0,0.0007350589841666667,125736870.83333333,10385.802083333334,3.4510848249999994e-06,2.680681025,7013.436783333333
24500.0,0.1,0.101325,0.0,0.0,0.0007234620741666666,127749918.33333333,9757.594516666668,3.342539583333333e-06,2.715192066666667,7045.249958333332
24700.0,0.1,0.101325,0.0,0.0,0.0007125436883333332,129643319.16666667,9160.516133333333,3.2474442500000002e-06,2.7506991333333337,7079.97285
24900.0,0.1,0.101325,0.0,0.0,0.0007022341358333333,131417029.16666667,8602.073558333332,3.1644045666666666e-06,2.787202666666667,7117.207666666667
25100.0,0.1,0.101325,0.0,0.0,0.0006925039908333334,133090915.83333333,8087.682691666666,3.0923231833333332e-06,2.8246031083333336,7156.55485
25300.0,0.1,0.101325,0.0,0.0,0.0006832831208333332,134664935.00000003,7621.460758333334,3.0300018666666666e-06,2.863100016666667,7197.715283333334
25500.0,0.1,0.101325,0.0,0.0,0.0006745321441666666,136148954.16666666,7205.954133333333,2.976341058333333e-06,2.9024951583333336,7240.488525000001
25700.0,0.1,0.101325,0.0,0.0,0.0006661908841666666,137552973.33333334,6842.890641666667,2.930440758333333e-06,2.9427885333333337,7284.475458333334
25900.0,0.1,0.101325,0.0,0.0,0.0006582290316666666,138886904.1666667,6533.0201916666665,2.891398758333333e-06,2.9840805833333337,7329.4752
26100.0,0.1,0.101325,0.0,0.0,0.0006505959241666666,140170658.3333333,6276.5772333333325,2.8583146166666665e-06,3.0260730750000002,7375.188191666666
26300.0,0.1,0.101325,0.0,0.0,0.0006432517383333333,141404191.66666666,6073.498866666666,2.8302865666666666e-06,3.0689646833333337,7421.313991666666
26500.0,0.1,0.101325,0.0,0.0,0.0006361661650000001,142607460.0,5923.524841666666,2.806711516666667e-06,3.1124576166666666,7467.553041666666
