T_K,rho_kg_m3,h_J_kg,cp_J_kgK
300.0,0.16227670349312745,156099.1162298976,520.330387432992
500.0,0.09736602210921372,260165.193716496,520.3303874329919
700.0,0.06954715863882185,364231.27120309434,520.330387432992
900.0,0.05409223449684449,468297.3486896928,520.3303874329921
1100.0,0.04425728277014521,572363.4261762912,520.330387432992
1300.0,0.03744847017748193,676429.5036628896,520.330387432992
1500.0,0.03245534073479228,780495.581149488,520.330387432992
1700.0,0.028637065333225156,884561.6586360864,520.330387432992
1900.0,0.025622637397273863,988627.7361226848,520.3303874329931
2100.0,0.023182386214525282,1092693.8136092837,520.3303874330397
2300.0,0.02116652654292922,1196759.8910959007,520.3303874342778
2500.0,0.019473204419181208,1300825.9685829948,520.3303874544036
2700.0,0.018030744832433686,1404892.0460776621,520.330387676147
2900.0,0.016787245188715393,1508958.1236534535,520.3303894581425
3100.0,0.01570419711170763,1613024.2018609191,520.3304005038838
3300.0,0.014752427588102515,1717090.283855007,520.3304556573514
3500.0,0.013909431717994778,1821156.3841238597,520.3306852442538
3700.0,0.013157570512445328,1925222.5579527086,520.3315042325074
3900.0,0.012482823197958038,2029288.9858168627,520.3340644689347
4100.0,0.011873904663412704,2133356.1837402824,520.3412082779239
4300.0,0.011321629130225308,2237425.469128032,520.3592730719794
4500.0,0.01081844338789065,2341499.892969074,520.4012010873982
4700.0,0.01035807900892265,2445585.9495629915,520.4914785857219
4900.0,0.009935289449987022,2549696.484403363,520.6734404202318
5100.0,0.00954564861953677,2653855.325731084,521.0194144091022
5300.0,0.009185394545917049,2758104.250167004,521.6440452032094
5500.0,0.008851306532989085,2862512.943812368,522.7209426172963
5700.0,0.008540607452071691,2967192.6272139223,524.5025679490203
5900.0,0.008250885095897031,3072313.970991976,527.3430315779312
6100.0,0.007980028135150837,3178129.839845095,531.7232531053305
6300.0,0.007726173380445087,3285003.2722341083,538.2777534935333
6500.0,0.007487661900466284,3393440.941242508,547.8222216708854
6700.0,0.007263002173483067,3504132.1609024624,561.3809321922704
6900.0,0.007050838918075285,3617993.3141194163,580.2130843938014
7100.0,0.00684992660446228,3736217.394659983,605.8371788972768
7300.0,0.00665910692198918,3860328.185678327,640.052630721142
7500.0,0.006477289694280174,3992238.44694844,684.9579211012402
7700.0,0.006303436908140809,4134311.354118823,742.9646886223205
7900.0,0.006136549667622278,4289424.322397368,816.8072239736467
8100.0,0.005975658009064569,4461034.243708282,909.5468212560727
8300.0,0.005819813621377396,4653243.050899797,1024.5702979557263
8500.0,0.005668085610135609,4870862.362890572,1165.581651520515
8700.0,0.005519559522983135,5119475.711508003,1336.5851732740923
8900.0,0.005373339912919282,5405496.432200209,1541.8572595884814
9100.0,0.005228556747519106,5736218.615343396,1785.902482215576
9300.0,0.005084375964843373,6119857.42508644,2073.3870136796495
9500.0,0.004940014416100768,6565573.4208152555,2409.03905404747
9700.0,0.004794759303201865,7083473.046705428,2797.5013253935404
9900.0,0.004647991995871932,7684573.950972672,3243.11500150827
10100.0,0.00449921577675008,8380719.047308736,3749.607996091798
10300.0,0.004348086594937015,9184417.149409391,4319.654421745115
10500.0,0.004194445297636219,10108580.816006782,4954.2685669754355
10700.0,0.00403834906186838,11166124.576199565,5652.000162823726
10900.0,0.0038800989010882325,12369380.881136272,6407.914884367455
11100.0,0.003720259263283321,13729290.529946547,7212.384549197378
11300.0,0.0035596650303012446,15254334.700815223,8049.786034309361
11500.0,0.0033994109283605584,16949204.94367029,8897.323082191971
11700.0,0.0032408188136666557,18813263.933692012,9724.332550764066
11900.0,0.003085379891426798,20838937.963975918,10492.577405777276
12100.0,0.0029346719550225075,23010294.896002922,11158.080739761685
12300.0,0.0027902561683678497,25302170.25988059,11674.901889286433
12500.0,0.002653563145265146,27680255.651717495,12000.801016635625
12700.0,0.0025257827601060526,30102490.66653484,12104.008824509037
12900.0,0.0024077743980010892,32521859.18152111,11969.556403460876
13100.0,0.0023000125807839315,34890313.22791919,11603.254085717314
13300.0,0.0022025766926609502,37163160.815808035,11031.814088187348
13500.0,0.0021151843881227826,39303038.86319413,10298.787095818985
13700.0,0.0020372592329339963,41282675.65413563,9457.421231789254
13900.0,0.001968017323237988,43086007.35590983,8562.521847009548
14100.0,0.0019065566396087882,44707684.39293945,7663.438512886576
14300.0,0.0018519361547540724,46151382.76106446,6799.542709670513
14500.0,0.0018032371698852297,47427501.476807654,5998.503186738026
14700.0,0.0017596047631221335,48550784.03575967,5276.835153071955
14900.0,0.001720271152124804,49538235.538036436,4641.83091932008
15100.0,0.001684564804466994,50407516.403487705,4094.0168012003787
15300.0,0.0016519096050181257,51175842.25851659,3629.5310152091274
15500.0,0.0016218179133935292,51859328.809571356,3242.1018416669776
15700.0,0.001593880466187073,52472682.99518338,2924.526187377237
15900.0,0.0015677551630871212,53029139.28452225,2669.680688246731
16100.0,0.0015431560052820668,53540555.27048207,2471.155696231704
16300.0,0.0015198428842852338,54017601.56301493,2323.613624477554
16500.0,0.0014976125369002976,54470000.72027309,2222.9604788803867
16700.0,0.001476290748478752,54906785.75456709,2166.3983368048443
16900.0,0.0014557257595181248,55336560.05499503,2152.4052519076877
17100.0,0.001435782774285492,55767747.85533016,2180.670992933866
17300.0,0.0014163394579482108,56208828.45216858,2252.0029740146547
17500.0,0.0013972823222812413,56668549.04493602,2368.2063826727867
17700.0,0.0013785039271091012,57156111.00523769,2531.935259838775
17900.0,0.0013599008568080198,57681323.14887153,2746.5066798109747
18100.0,0.0013413724620384715,58254713.67716208,3015.6680719339474
18300.0,0.00132282038066921,58887590.37764511,3343.30827915119
18500.0,0.0013041488628294903,59592036.98882256,3733.1064958130755
18700.0,0.001285265917418294,60380832.97597034,4188.120030941534
18900.0,0.001266085266347391,61267285.00119917,4710.321757521219
19100.0,0.0012465290360917684,62264961.67897883,5300.1102274054665
19300.0,0.0012265310364699738,63387329.09216136,5955.827880204543
19500.0,0.001206040383516297,64647292.83106065,6673.332837665509
19700.0,0.0011850251335962575,66056662.22722756,7445.674495799653
19900.0,0.0011634755312587926,67625562.62938051,8262.920305077638
20100.0,0.0011414064551278193,69361830.34925862,9112.170340466202
20300.0,0.0011188586886130337,71270430.76556699,9977.779342381358
20500.0,0.0010958987464032481,73352942.08621116,10841.786455733516
20700.0,0.001072617139425772,75607145.3478604,11684.534863714538
20900.0,0.0010491251341562338,78026756.03169698,12485.449559902772
21100.0,0.0010255502264473351,80601325.1718215,13223.931986789628
21300.0,0.0010020306792001936,83316328.82641283,13880.323536998667
21500.0,0.0009787095512062579,86153454.58662097,14436.883709673211
21700.0,0.0009557286671719379,89091082.31028211,14878.721931270733
21900.0,0.0009332229517953712,92104943.35912926,15194.615843850523
22100.0,0.0009113154849369327,95168928.64782232,15377.646528544277
22300.0,0.0008901135434676108,98256001.97054698,15425.5867539021
22500.0,0.0008697057909330458,101339163.34938316,15340.994834188372
22700.0,0.000850160670028592,104392399.90422232,15130.994083075002
22900.0,0.0008315259547927829,107391560.98261316,14806.752614107168
23100.0,0.0008138293374327195,110315100.94986519,14382.713963492959
23300.0,0.0007970798646960549,113144646.56801035,13875.65828509789
23500.0,0.0007812700038699158,115865364.26390435,13303.690592070594
23700.0,0.0007663781088604598,118466122.80483858,12685.253742220588
23900.0,0.0007523710694102521,120939465.76079258,12038.250470587163
24100.0,0.000739206956036325,123281422.99307345,11379.334873591699
24300.0,0.000726837513191543,125491199.71022926,10723.405151442661
24500.0,0.0007152103969340906,127570785.05365051,10083.30185447201
24700.0,0.000704271095506698,129524520.45201807,9469.693648166134
24900.0,0.0006939645077586677,131358662.51291697,8891.117922328523
25100.0,0.0006842361831340475,133080967.62094948,8354.136635214798
25300.0,0.0006750332474114065,134700317.1670029,7863.567376987189
25500.0,0.0006663050510879776,136226394.57174435,7422.753808643296
25700.0,0.0006580035835273448,137669418.6904602,7033.846339338422
25900.0,0.0006500836972956403,139039933.10747972,6698.071424492225
26100.0,0.0006425031850400655,140348647.2602571,6415.974982515722
26300.0,0.0006352227471556605,141606323.100486,6187.631438958645
26500.0,0.0006282058833928575,142823699.83584055,6012.814536595121
26700.0,0.0006214187362323503,144011448.91512406,5891.12931560263
26900.0,0.0006148299087780492,145180151.5620816,5822.106758194193
27100.0,0.0006084102753607686,146340291.61840174,5805.2637701299045
27300.0,0.0006021327991099292,147502257.07013357,5840.131710672527
27500.0,0.0005959723674316414,148676344.30267075,5926.256829462796
27700.0,0.0005899056535524944,149872759.8019187,6063.17592671834
27900.0,0.0005839110099342614,151101614.67335808,6250.370476956963
28100.0,0.0005779683973058997,152372907.99270147,6487.202455294802
28300.0,0.0005720593511698218,153696495.655476,6772.835245886519
28500.0,0.0005661669858119627,155082042.09105608,7106.143322107941
28700.0,0.0005602760340016637,156538952.98431918,7485.614859903157
28900.0,0.0005543729186700591,158076288.03501734,7909.252037707343
29100.0,0.0005484458509143725,159702653.79940212,8374.474416417852
29300.0,0.0005424849467511266,161426077.80158448,8878.031382856741
29500.0,0.0005364823532458508,163253866.3525448,9415.930064279959
29700.0,0.0005304323731345322,165192449.82729647,9984.36813115716
29900.0,0.0005243315760028173,167247613.60500768,10424.862692784865
30000.0,0.000521261690632197,168319908.63513193,10722.95030124247
