T_K,pair,category,Q11_m2,Q22_m2,Q11_A2,Q22_A2,Ast,Bst,Cst,source,notes
300.0,Ar-Ar,neutral-neutral,3.7453991093095465e-19,4.0958441933408403e-19,37.45399109309547,40.9584419334084,1.0935668199312134,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
300.0,Ar-Ar+,ion-neutral,7.978783669244119e-14,5.985122085578211e-14,7978783.66924412,5985122.085578211,0.7501296355043574,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
300.0,e-Ar,electron-neutral,2.034847928991186e-20,2.034847928991186e-20,2.034847928991186,2.034847928991186,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
500.0,Ar-Ar,neutral-neutral,3.2338527247023525e-19,3.538803506961867e-19,32.33852724702353,35.38803506961867,1.0942995269791027,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
500.0,Ar-Ar+,ion-neutral,6.180906628092727e-14,4.636056531314329e-14,6180906.628092728,4636056.531314329,0.7500609231408013,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
500.0,e-Ar,electron-neutral,1.3477109307965322e-20,1.3477109307965322e-20,1.3477109307965323,1.3477109307965323,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
700.0,Ar-Ar,neutral-neutral,2.9974970992809904e-19,3.288235402728765e-19,29.974970992809904,32.88235402728765,1.0969936896744668,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
700.0,Ar-Ar+,ion-neutral,5.223986448826863e-14,3.9181830715640346e-14,5223986.448826863,3918183.0715640346,0.750036989939729,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
700.0,e-Ar,electron-neutral,9.72245591075063e-21,9.72245591075063e-21,0.972245591075063,0.972245591075063,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
900.0,Ar-Ar,neutral-neutral,2.850643750021276e-19,3.141066435531308e-19,28.506437500212762,31.41066435531308,1.1018796843722982,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
900.0,Ar-Ar+,ion-neutral,4.607193862301046e-14,3.455512719395242e-14,4607193.862301046,3455512.7193952426,0.7500254651036975,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
900.0,e-Ar,electron-neutral,7.553309150113726e-21,7.553309150113726e-21,0.7553309150113726,0.7553309150113726,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
1100.0,Ar-Ar,neutral-neutral,2.746944623509176e-19,3.0395963638699045e-19,27.469446235091763,30.395963638699044,1.106537182386615,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
1100.0,Ar-Ar+,ion-neutral,4.167400187004522e-14,3.125628880652338e-14,4167400.187004522,3125628.8806523383,0.7500188943694901,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
1100.0,e-Ar,electron-neutral,6.28529322252757e-21,6.28529322252757e-21,0.628529322252757,0.628529322252757,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
1300.0,Ar-Ar,neutral-neutral,2.6681121092667257e-19,2.9618844815354286e-19,26.681121092667258,29.618844815354286,1.1101049582018652,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
1300.0,Ar-Ar+,ion-neutral,3.8334718944226987e-14,2.875160406212012e-14,3833471.8944226988,2875160.4062120123,0.7500147347878225,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
1300.0,e-Ar,electron-neutral,5.56845359758231e-21,5.56845359758231e-21,0.556845359758231,0.556845359758231,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
1500.0,Ar-Ar,neutral-neutral,2.6049705025781376e-19,2.8984431116767496e-19,26.049705025781375,28.984431116767496,1.1126587071938674,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
1500.0,Ar-Ar+,ion-neutral,3.568781581626046e-14,2.676628677706625e-14,3568781.5816260464,2676628.6777066253,0.7500119064409291,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
1500.0,e-Ar,electron-neutral,5.206762767001165e-21,5.206762767001165e-21,0.5206762767001165,0.5206762767001165,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
1700.0,Ar-Ar,neutral-neutral,2.5523962253931746e-19,2.844619531511002e-19,25.523962253931746,28.44619531511002,1.1144897893244663,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
1700.0,Ar-Ar+,ion-neutral,3.3522956335946637e-14,2.5142548478665606e-14,3352295.633594664,2514254.847866561,0.7500098805935345,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
1700.0,e-Ar,electron-neutral,5.082933294037334e-21,5.082933294037334e-21,0.5082933294037334,0.5082933294037334,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
1900.0,Ar-Ar,neutral-neutral,2.5073410631177994e-19,2.797822371471227e-19,25.073410631177996,27.978223714712268,1.1158523316298354,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
1900.0,Ar-Ar+,ion-neutral,3.170960602456181e-14,2.3782469958189827e-14,3170960.6024561813,2378246.995818983,0.7500083709576292,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
1900.0,e-Ar,electron-neutral,5.123187852261954e-21,5.123187852261954e-21,0.5123187852261955,0.5123187852261955,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
2100.0,Ar-Ar,neutral-neutral,2.4678940732843057e-19,2.7564391468204807e-19,24.678940732843056,27.564391468204807,1.1169195536630856,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
2100.0,Ar-Ar+,ion-neutral,3.016189832469538e-14,2.262164122292028e-14,3016189.8324695383,2262164.1222920283,0.7500072104015604,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
2100.0,e-Ar,electron-neutral,5.279270475340108e-21,5.279270475340108e-21,0.5279270475340109,0.5279270475340109,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
2300.0,Ar-Ar,neutral-neutral,2.432797224437775e-19,2.719378229891845e-19,24.32797224437775,27.19378229891845,1.117798969258648,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
2300.0,Ar-Ar+,ion-neutral,2.88207269563816e-14,2.1615726657394253e-14,2882072.69563816,2161572.6657394255,0.7500062954729881,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
2300.0,e-Ar,electron-neutral,5.5186259784224375e-21,5.5186259784224375e-21,0.5518625978422438,0.5518625978422438,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
2500.0,Ar-Ar,neutral-neutral,2.4011834506066714e-19,2.6858554026044157e-19,24.011834506066716,26.858554026044157,1.11855485341023,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
2500.0,Ar-Ar+,ion-neutral,2.764389732666029e-14,2.073307666911721e-14,2764389.732666029,2073307.6669117212,0.750005559061379,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
2500.0,e-Ar,electron-neutral,5.8187407334034355e-21,5.8187407334034355e-21,0.5818740733403436,0.5818740733403436,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
2700.0,Ar-Ar,neutral-neutral,2.372429782900897e-19,2.655283561151712e-19,23.724297829008968,26.55283561151712,1.1192253529649063,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
2700.0,Ar-Ar+,ion-neutral,2.660037400523624e-14,1.9950412333383708e-14,2660037.4005236244,1995041.233338371,0.7500049559249242,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
2700.0,e-Ar,electron-neutral,6.16373269508184e-21,6.16373269508184e-21,0.616373269508184,0.616373269508184,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
2900.0,Ar-Ar,neutral-neutral,2.3460721076759857e-19,2.6272099567945785e-19,23.460721076759857,26.272099567945784,1.1198334220839816,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
2900.0,Ar-Ar+,ion-neutral,2.5666752126707902e-14,1.925017842934924e-14,2566675.2126707905,1925017.8429349242,0.7500044545689984,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
2900.0,e-Ar,electron-neutral,6.54221908932802e-21,6.54221908932802e-21,0.6542219089328021,0.6542219089328021,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
3100.0,Ar-Ar,neutral-neutral,2.321753906803382e-19,2.601277527755643e-19,23.21753906803382,26.01277527755643,1.1203933027239361,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
3100.0,Ar-Ar+,ion-neutral,2.482500319376495e-14,1.8618852501244755e-14,2482500.319376495,1861885.2501244757,0.7500040324635715,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
3100.0,e-Ar,electron-neutral,6.945941364928152e-21,6.945941364928152e-21,0.6945941364928152,0.6945941364928152,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
3300.0,Ar-Ar,neutral-neutral,2.2991942861930006e-19,2.5771995866738726e-19,22.991942861930006,25.771995866738727,1.1209142272796757,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
3300.0,Ar-Ar+,ion-neutral,2.4060984769147644e-14,1.804582695550354e-14,2406098.4769147644,1804582.695550354,0.7500036731099602,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
3300.0,e-Ar,electron-neutral,7.368855605401833e-21,7.368855605401833e-21,0.7368855605401834,0.7368855605401834,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
3500.0,Ar-Ar,neutral-neutral,2.278167288677532e-19,2.554742493427614e-19,22.78167288677532,25.54742493427614,1.1214025002135084,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
3500.0,Ar-Ar+,ion-neutral,2.3363425844507746e-14,1.7522647982107373e-14,2336342.584450775,1752264.7982107375,0.7500033641781426,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
3500.0,e-Ar,electron-neutral,7.806517907854851e-21,7.806517907854851e-21,0.7806517907854852,0.7806517907854852,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
3700.0,Ar-Ar,neutral-neutral,2.2584880227076793e-19,2.533713392127068e-19,22.58488022707679,25.33713392127068,1.1218626650450083,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
3700.0,Ar-Ar+,ion-neutral,2.272321827573538e-14,1.7042484064425122e-14,2272321.8275735383,1704248.4064425123,0.7500030962878027,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
3700.0,e-Ar,electron-neutral,8.255661332261553e-21,8.255661332261553e-21,0.8255661332261554,0.8255661332261554,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
3900.0,Ar-Ar,neutral-neutral,2.2400030462301e-19,2.513951305474407e-19,22.400030462301,25.13951305474407,1.1222981637035534,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
3900.0,Ar-Ar+,ion-neutral,2.2132910834263065e-14,1.6599746474278816e-14,2213291.0834263065,1659974.6474278818,0.7500028621893429,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
3900.0,e-Ar,electron-neutral,8.713899620676852e-21,8.713899620676852e-21,0.8713899620676852,0.8713899620676852,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
4100.0,Ar-Ar,neutral-neutral,2.2225834969431723e-19,2.495320531103083e-19,22.225834969431723,24.95320531103083,1.1227117156835813,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
4100.0,Ar-Ar+,ion-neutral,2.158634077907747e-14,1.618981292196229e-14,2158634.077907747,1618981.292196229,0.7500026562007324,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
4100.0,e-Ar,electron-neutral,9.179515959302977e-21,9.179515959302977e-21,0.9179515959302978,0.9179515959302978,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
4300.0,Ar-Ar,neutral-neutral,2.20612005326937e-19,2.4777056583367974e-19,22.061200532693704,24.777056583367973,1.1231055420873173,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
4300.0,Ar-Ar+,ion-neutral,2.1078360850578046e-14,1.5808822781839575e-14,2107836.085057805,1580882.2781839576,0.7500024738121911,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
4300.0,e-Ar,electron-neutral,9.651309369475537e-21,9.651309369475537e-21,0.9651309369475538,0.9651309369475538,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
4500.0,Ar-Ar,neutral-neutral,2.1905191531483016e-19,2.461007750280203e-19,21.905191531483016,24.61007750280203,1.1234815028862652,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
4500.0,Ar-Ar+,ion-neutral,2.0604633790071823e-14,1.545352296817747e-14,2060463.3790071825,1545352.2968177472,0.7500023114035459,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
4500.0,e-Ar,electron-neutral,1.0128480488989819e-20,1.0128480488989819e-20,1.012848048898982,1.012848048898982,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
4700.0,Ar-Ar,neutral-neutral,2.1757001011036238e-19,2.4451413792524396e-19,21.757001011036238,24.451413792524395,1.1238411847350385,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
4700.0,Ar-Ar+,ion-neutral,2.0161475494379425e-14,1.512115029132125e-14,2016147.5494379424,1512115.0291321252,0.7500021660387254,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
4700.0,e-Ar,electron-neutral,1.0610544540502735e-20,1.0610544540502735e-20,1.0610544540502735,1.0610544540502735,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
4900.0,Ar-Ar,neutral-neutral,2.1615928180636026e-19,2.430032297005281e-19,21.615928180636026,24.30032297005281,1.1241859598618356,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
4900.0,Ar-Ar+,ion-neutral,1.9745733761537312e-14,1.48093405099239e-14,1974573.3761537313,1480934.05099239,0.7500020353141291,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
4900.0,e-Ar,electron-neutral,1.1097263320597431e-20,1.1097263320597431e-20,1.1097263320597432,1.1097263320597432,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
5100.0,Ar-Ar,neutral-neutral,2.1481360662411032e-19,2.415615583784256e-19,21.48136066241103,24.156155837842558,1.124517027457762,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
5100.0,Ar-Ar+,ion-neutral,1.9354693460516598e-14,1.4516057203079468e-14,1935469.34605166,1451605.720307947,0.7500019172451423,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
5100.0,e-Ar,electron-neutral,1.1588590763009403e-20,1.1588590763009403e-20,1.1588590763009403,1.1588590763009403,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
5300.0,Ar-Ar,neutral-neutral,2.135276031613236e-19,2.4018341631708984e-19,21.35276031613236,24.018341631708985,1.1248354440415245,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
5300.0,Ar-Ar+,ion-neutral,1.898600157857594e-14,1.423953555201634e-14,1898600.1578575938,1423953.555201634,0.7500018101802132,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
5300.0,e-Ar,electron-neutral,1.208462845968074e-20,1.208462845968074e-20,1.2084628459680742,1.2084628459680742,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
5500.0,Ar-Ar,neutral-neutral,2.1229651798596611e-19,2.3886375995536026e-19,21.22965179859661,23.886375995536028,1.1251421465666733,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
5500.0,Ar-Ar+,ion-neutral,1.863760740259704e-14,1.3978237473229831e-14,1863760.740259704,1397823.747322983,0.7500017127349752,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
5500.0,e-Ar,electron-neutral,1.2585588744227553e-20,1.2585588744227553e-20,1.2585588744227554,1.2585588744227554,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
5700.0,Ar-Ar,neutral-neutral,2.1111613242868403e-19,2.375981116276195e-19,21.111613242868405,23.75981116276195,1.125437970534446,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
5700.0,Ar-Ar+,ion-neutral,1.8307714350754018e-14,1.3730815490056317e-14,1830771.435075402,1373081.5490056318,0.7500016237412401,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
5700.0,e-Ar,electron-neutral,1.3091763745129616e-20,1.3091763745129616e-20,1.3091763745129616,1.3091763745129616,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
5900.0,Ar-Ar,neutral-neutral,2.0998268600493712e-19,2.3638247877611654e-19,20.998268600493713,23.638247877611654,1.1257236645242203,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
5900.0,Ar-Ar+,ion-neutral,1.799474086452341e-14,1.3496083400010152e-14,1799474.086452341,1349608.3400010152,0.7500015422071261,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
5900.0,e-Ar,electron-neutral,1.3603499333625104e-20,1.3603499333625104e-20,1.3603499333625104,1.3603499333625104,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
6100.0,Ar-Ar,neutral-neutral,2.0889281301999297e-19,2.352132870015212e-19,20.889281301999297,23.521328700152118,1.1259999020598621,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
6100.0,Ar-Ar+,ion-neutral,1.7697288413465015e-14,1.327299227707506e-14,1769728.8413465016,1327299.2277075062,0.7500014672855916,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
6100.0,e-Ar,electron-neutral,1.4121173217546014e-20,1.4121173217546014e-20,1.4121173217546015,1.4121173217546015,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
6300.0,Ar-Ar,neutral-neutral,2.0784348972229723e-19,2.3408732421188877e-19,20.784348972229722,23.408732421188876,1.1262672914348018,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
6300.0,Ar-Ar+,ion-neutral,1.741411513280754e-14,1.3060610698881317e-14,1741411.5132807542,1306061.0698881317,0.7500013982493785,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
6300.0,e-Ar,electron-neutral,1.4645176632832877e-20,1.4645176632832877e-20,1.464517663283288,1.464517663283288,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
6500.0,Ar-Ar,neutral-neutral,2.068319899684144e-19,2.330016937412669e-19,20.68319899684144,23.300169374126693,1.1265263839353328,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
6500.0,Ar-Ar+,ion-neutral,1.714411395817767e-14,1.2858108346955503e-14,1714411.3958177671,1285810.8346955504,0.7500013344709623,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
6500.0,e-Ar,electron-neutral,1.517589920474314e-20,1.517589920474314e-20,1.5175899204743142,1.5175899204743142,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
6700.0,Ar-Ar,neutral-neutral,2.05855847808698e-19,2.3195377476957067e-19,20.5855847808698,23.195377476957066,1.126777680783329,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
6700.0,Ar-Ar+,ion-neutral,1.68862943780681e-14,1.2664742320437347e-14,1688629.4378068103,1266474.2320437348,0.7500012754063022,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
6700.0,e-Ar,electron-neutral,1.571371662178924e-20,1.571371662178924e-20,1.5713716621789242,1.5713716621789242,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
6900.0,Ar-Ar,neutral-neutral,2.0491282573976088e-19,2.3094118872557287e-19,20.49128257397609,23.094118872557285,1.1270216390401446,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
6900.0,Ar-Ar+,ion-neutral,1.6639767117270522e-14,1.2479845648147755e-14,1663976.7117270522,1247984.5648147755,0.7500012205816776,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
6900.0,e-Ar,electron-neutral,1.6258980807732645e-20,1.6258980807732645e-20,1.6258980807732646,1.6258980807732646,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
7100.0,Ar-Ar,neutral-neutral,2.0400088762715848e-19,2.2996177062365746e-19,20.40008876271585,22.996177062365746,1.1272586766580461,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
7100.0,Ar-Ar+,ion-neutral,1.6403731210668497e-14,1.2302817593524389e-14,1640373.12106685,1230281.7593524389,0.7500011695828692,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
7100.0,e-Ar,electron-neutral,1.681201230369644e-20,1.681201230369644e-20,1.681201230369644,1.681201230369644,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
7300.0,Ar-Ar,neutral-neutral,2.0311817550020303e-19,2.2901354449303604e-19,20.311817550020304,22.901354449303604,1.1274891768255724,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
7300.0,Ar-Ar+,ion-neutral,1.6177463038666405e-14,1.213311543086214e-14,1617746.3038666407,1213311.543086214,0.750001122046287,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
7300.0,e-Ar,electron-neutral,1.7373094591711272e-20,1.7373094591711272e-20,1.7373094591711273,1.7373094591711273,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
7500.0,Ar-Ar,neutral-neutral,2.0226298957531237e-19,2.280947022204228e-19,20.226298957531238,22.80947022204228,1.1277134917235663,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
7500.0,Ar-Ar+,ion-neutral,1.5960306981874126e-14,1.1970247436055858e-14,1596030.6981874127,1197024.7436055858,0.7500010776515942,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
7500.0,e-Ar,electron-neutral,1.7942470107449534e-20,1.7942470107449534e-20,1.7942470107449535,1.7942470107449535,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
7700.0,Ar-Ar,neutral-neutral,2.0143377098550606e-19,2.2720358525470853e-19,20.143377098550605,22.720358525470854,1.1279319457860753,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
