E_eV,Qm_A2,source,database,process,target
0,7.5,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.001,7.5,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.002,7.1,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.003,6.7,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.005,6.1,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.007,5.4,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.0085,5.05,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.01,4.6,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.015,3.75,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.02,3.25,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.03,2.5,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.04,2.05,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.05,1.73,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.07,1.13,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.1,0.59,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.12,0.4,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.15,0.23,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.17,0.16,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.2,0.103,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.25,0.091,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.3,0.153,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.35,0.235,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.4,0.33,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.5,0.51,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
0.7,0.86,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
1,1.38,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
1.2,1.66,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
1.3,1.82,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
1.5,2.1,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
1.7,2.3,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
1.9,2.5,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
2.1,2.8,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
2.2,2.9,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
2.5,3.3,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
2.8,3.8,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
3,4.1,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
3.3,4.5,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
3.6,4.9,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
4,5.4,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
4.5,6.1,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
5,6.7,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
6,8.1,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
7,9.6,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
8,11.7,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
10,15,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
12,14.5,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
15,13.7,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
17,11,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
20,9.2,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
25,6.8,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
30,5.5,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
50,3.2,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
75,2.15,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
100,1.6,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
150,1.1,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
200,0.88,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
300,0.6,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
500,0.37,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
700,0.26,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
1000,0.17,LXCat:IST-Lisbon database:ELASTIC,IST-Lisbon database,ELASTIC,Ar
